Codi,Data(TU),Hora(TU),Lat(°),Lon(°),Prof.(km),Mag,Tipus Mag,Regió,Àrea,Font,Codi
88413,2022-02-01,03:15:19.8,42.52 N,1.44 E,5,0.7,Ml,Alt Urgell,Local,ICGC,88413
88405,2022-02-01,02:30:30.3,42.53 N,1.44 E,1,0.7,Ml,Alt Urgell,Local,ICGC,88405
88396,2022-02-01,02:10:09.5,42.53 N,1.44 E,1,1.7,Ml,Alt Urgell,Local,ICGC,88396
88400,2022-02-01,02:06:11.4,42.52 N,1.44 E,4,0.3,Ml,Alt Urgell,Local,ICGC,88400
88395,2022-02-01,02:02:59.8,42.53 N,1.45 E,4,3.8,Ml,Alt Urgell,Local,ICGC,88395
88399,2022-02-01,01:37:15.1,42.65 N,0.73 E,7,0.2,Ml,Val d'Aran,Local,ICGC,88399
88398,2022-02-01,01:35:15.1,42.65 N,0.70 E,3,1.0,Ml,Huesca,Local,ICGC,88398
88408,2022-01-31,01:34:24.1,41.83 N,2.83 E,0,-0.6,Ml,Selva,Local,ICGC,88408
88379,2022-01-30,00:41:34.7,42.64 N,0.72 E,5,0.8,Ml,Val d'Aran,Local,ICGC,88379
88365,2022-01-29,17:57:34.0,43.07 N,0.58 W,-,2.0,Ml,SW Arudy. FRA,Regional,IGN,88365
88392,2022-01-29,02:46:39.0,29.53 S,176.75 W,10,6.5,Mw,Kermadec Islands region,Telesisme,NEIC,88392
88371,2022-01-28,15:40:37.9,42.64 N,0.71 E,1,1.3,Ml,Val d'Aran,Local,ICGC,88371
88364,2022-01-28,13:02:37.8,41.89 N,2.95 E,11,1.1,Ml,Baix Empordà,Local,ICGC,88364
88372,2022-01-28,11:14:09.0,5.49 N,82.59 W,10,6.1,Mw,SW of Arenas, Panama,Telesisme,NEIC,88372
88349,2022-01-28,08:51:46.3,42.64 N,0.71 E,4,0.7,Ml,Val d'Aran,Local,ICGC,88349
88370,2022-01-28,07:26:04.0,36.19 N,3.20 E,-,3.8,Mb,E Medea. Algèria,Regional,IGN,88370
88376,2022-01-28,06:07:34.1,43.01 N,3.15 E,10,1.0,Ml,Costa Aude,Local,ICGC,88376
88375,2022-01-28,05:58:02.2,42.65 N,0.72 E,4,-0.0,Ml,Val d'Aran,Local,ICGC,88375
88374,2022-01-28,05:56:51.1,42.64 N,0.72 E,5,0.1,Ml,Val d'Aran,Local,ICGC,88374
88373,2022-01-28,05:54:16.3,42.63 N,0.71 E,3,0.4,Ml,Val d'Aran,Local,ICGC,88373
88342,2022-01-28,05:42:29.8,42.64 N,0.72 E,4,1.0,Ml,Val d'Aran,Local,ICGC,88342
88341,2022-01-28,05:19:42.1,42.63 N,0.71 E,0,2.4,Ml,Val d'Aran,Local,ICGC,88341
88340,2022-01-28,05:01:16.4,42.64 N,0.71 E,0,2.0,Ml,Val d'Aran,Local,ICGC,88340
88339,2022-01-28,04:53:19.0,42.62 N,0.71 E,1,0.5,Ml,Val d'Aran,Local,ICGC,88339
88338,2022-01-28,00:07:39.0,43.04 N,0.3 W,4,0.7,Ml,Pyrénées-Atlantiques,Local,ICGC,88338
88362,2022-01-27,23:56:06.2,42.81 N,0.67 E,11,0.2,Ml,Val d'Aran,Local,ICGC,88362
88363,2022-01-27,22:43:10.0,35.45 N,3.61 W,20,3.3,Ml,Alborán Sur,Regional,IGN,88363
88361,2022-01-27,20:24:41.2,42.65 N,0.71 E,6,-0.0,Ml,Val d'Aran,Local,ICGC,88361
88360,2022-01-27,18:12:38.7,41.05 N,1.30 E,5,0.8,Ml,Costa Tarragonès,Local,ICGC,88360
88327,2022-01-27,14:44:07.0,42.55 N,9.49 W,0,4.6,Ml,Atlántico-Galicia,Regional,IGN,88327
88359,2022-01-27,13:57:41.0,42.51 N,9.47 W,-,3.7,Ml,Atlántico-Galicia,Regional,IGN,88359
88358,2022-01-27,11:06:37.7,42.64 N,0.69 E,1,0.4,Ml,Huesca,Local,ICGC,88358
88357,2022-01-27,10:34:47.0,39.23 N,0.68 W,3,2.9,Ml,E Millares. València,Regional,IGN,88357
88298,2022-01-27,10:28:53.0,39.23 N,0.65 W,3,3.0,Ml,SW Catadau. València,Regional,IGN,88298
88356,2022-01-27,07:53:02.6,42.76 N,0.83 E,11,0.0,Ml,Val d'Aran,Local,ICGC,88356
88355,2022-01-27,05:47:19.5,42.62 N,0.73 E,0,-0.0,Ml,Val d'Aran,Local,ICGC,88355
88354,2022-01-27,05:27:20.2,42.65 N,0.71 E,5,0.1,Ml,Val d'Aran,Local,ICGC,88354
88353,2022-01-27,05:09:08.1,42.63 N,0.70 E,3,-0.1,Ml,Val d'Aran,Local,ICGC,88353
88284,2022-01-27,03:24:04.8,42.64 N,0.73 E,1,0.8,Ml,Val d'Aran,Local,ICGC,88284
88351,2022-01-27,02:42:11.3,42.20 N,1.40 E,0,0.4,Ml,Alt Urgell,Local,ICGC,88351
88350,2022-01-27,02:22:25.2,42.19 N,1.40 E,0,0.4,Ml,Alt Urgell,Local,ICGC,88350
88283,2022-01-27,00:36:03.5,43.01 N,0.15 W,3,0.1,Ml,Hautes-Pyrénées,Local,ICGC,88283
88333,2022-01-26,22:36:11.4,42.63 N,0.72 E,1,0.5,Ml,Val d'Aran,Local,ICGC,88333
88278,2022-01-26,21:28:43.0,43.11 N,0.69 W,9,3.0,Ml,SW Oloron Ste Marie. FRA,Regional,IGN,88278
88274,2022-01-26,17:24:43.7,42.65 N,0.72 E,0,1.8,Ml,Val d'Aran,Local,ICGC,88274
88260,2022-01-26,13:09:48.5,42.63 N,0.73 E,0,1.1,Ml,Val d'Aran,Local,ICGC,88260
88224,2022-01-26,05:27:51.0,43.07 N,0.5 W,0,2.7,Ml,SW Arudy. FRA,Regional,IGN,88224
88222,2022-01-26,03:12:35.5,42.63 N,0.72 E,0,2.3,Ml,Val d'Aran,Local,ICGC,88222
88216,2022-01-26,00:46:39.7,42.65 N,0.71 E,0,2.3,Ml,Val d'Aran,Local,ICGC,88216
88215,2022-01-26,00:41:40.7,42.64 N,0.73 E,1,2.1,Ml,Val d'Aran,Local,ICGC,88215
88212,2022-01-26,00:33:59.7,42.63 N,0.71 E,0,1.9,Ml,Val d'Aran,Local,ICGC,88212
88287,2022-01-26,00:09:12.1,42.65 N,0.71 E,5,-0.2,Ml,Val d'Aran,Local,ICGC,88287
88286,2022-01-25,23:59:59.7,42.66 N,0.71 E,6,0.1,Ml,Val d'Aran,Local,ICGC,88286
88200,2022-01-25,13:12:44.6,42.63 N,0.71 E,0,1.9,Ml,Val d'Aran,Local,ICGC,88200
88166,2022-01-24,18:48:34.0,42.83 N,1.32 W,9,2.3,Ml,SE Arce/Artzi.NA,Regional,IGN,88166
88158,2022-01-24,14:47:20.4,42.64 N,0.70 E,0,1.1,Ml,Huesca,Local,ICGC,88158
88176,2022-01-24,13:16:23.0,18.46 N,73.34 W,10,5.3,Mw,S of Anse-à-Veau, Haiti,Telesisme,NEIC,88176
88134,2022-01-24,10:39:29.8,42.65 N,0.70 E,0,1.6,Ml,Val d'Aran,Local,ICGC,88134
88094,2022-01-24,07:02:41.3,42.63 N,0.71 E,1,0.7,Ml,Val d'Aran,Local,ICGC,88094
88093,2022-01-24,00:16:24.9,42.64 N,0.72 E,5,0.7,Ml,Val d'Aran,Local,ICGC,88093
88090,2022-01-23,21:06:24.8,42.63 N,0.71 E,1,0.8,Ml,Val d'Aran,Local,ICGC,88090
88089,2022-01-23,21:03:11.7,42.64 N,0.72 E,4,1.1,Ml,Val d'Aran,Local,ICGC,88089
88088,2022-01-23,21:01:08.1,42.63 N,0.73 E,5,1.5,Ml,Val d'Aran,Local,ICGC,88088
88085,2022-01-23,20:14:12.1,42.63 N,0.71 E,1,1.0,Ml,Val d'Aran,Local,ICGC,88085
88083,2022-01-23,17:04:41.4,42.63 N,0.73 E,0,0.9,Ml,Val d'Aran,Local,ICGC,88083
88082,2022-01-23,16:24:28.8,42.63 N,0.71 E,1,0.8,Ml,Val d'Aran,Local,ICGC,88082
88081,2022-01-23,15:48:56.3,42.65 N,0.72 E,1,1.3,Ml,Val d'Aran,Local,ICGC,88081
88080,2022-01-23,15:34:00.0,42.64 N,0.72 E,2,0.8,Ml,Val d'Aran,Local,ICGC,88080
88079,2022-01-23,14:41:24.7,42.29 N,1.34 E,0,0.5,Ml,Alt Urgell,Local,ICGC,88079
88230,2022-01-23,14:24:14.8,42.68 N,0.71 E,8,-0.0,Ml,Val d'Aran,Local,ICGC,88230
88110,2022-01-23,14:22:14.0,39.13 N,1.90 E,6,2.4,Ml,Mediterraneo - Baleares,Regional,IGN,88110
88226,2022-01-23,14:08:33.2,42.59 N,0.76 E,0,-0.3,Ml,Huesca,Local,ICGC,88226
88157,2022-01-23,12:52:46.2,42.64 N,0.70 E,0,0.1,Ml,Val d'Aran,Local,ICGC,88157
88156,2022-01-23,12:05:50.3,42.65 N,0.71 E,3,0.3,Ml,Val d'Aran,Local,ICGC,88156
88155,2022-01-23,11:19:47.1,42.38 N,1.13 E,7,-0.4,Ml,Pallars Sobirà,Local,ICGC,88155
88154,2022-01-23,11:16:03.6,42.63 N,0.72 E,2,0.5,Ml,Val d'Aran,Local,ICGC,88154
88153,2022-01-23,11:01:13.0,42.61 N,0.73 E,1,-0.5,Ml,Huesca,Local,ICGC,88153
88152,2022-01-23,10:11:33.4,42.62 N,0.71 E,1,-0.0,Ml,Huesca,Local,ICGC,88152
88076,2022-01-23,10:06:12.7,42.66 N,0.72 E,5,1.1,Ml,Val d'Aran,Local,ICGC,88076
88151,2022-01-23,10:04:33.5,42.64 N,0.71 E,3,0.3,Ml,Val d'Aran,Local,ICGC,88151
88150,2022-01-23,09:57:25.9,42.66 N,0.71 E,2,0.1,Ml,Val d'Aran,Local,ICGC,88150
88148,2022-01-23,09:49:26.2,42.63 N,0.68 E,1,-0.1,Ml,Huesca,Local,ICGC,88148
